Fermata autobus Maccani Rotatoria, Trento Italy
Fermata autobus Ss 12 Talvera, Trento Italy
Fermata autobus Vittorio Veneto Lorenzoni, Trento Italy
Fermata autobus Vela Centro, Trento Italy
Fermata autobus Tavernaro Centro, Trento Italy
Fermata autobus Romagnano Piazza Condini, Trento Italy
46.07039593211841, 11.126827827000463
Fermata autobus Grotta Bindesi, Trento Italy
Fermata autobus F.Lli Perini 3 Novembre, Trento Italy
Fermata autobus Stella S.Gaetano, Trento Italy
Fermata autobus Centochiavi Dalla Fior, Trento Italy
Fermata autobus Villazzano Chiesa, Trento Italy
Fermata autobus 3 Nov. Centro S.Chiara, Trento Italy
Fermata autobus Spré Pinara, Trento Italy
Fermata autobus Zambra Ist. D'arte Vittoria, Trento Italy
Fermata autobus S.Lorenzo Funivia, Trento Italy
Fermata autobus Mattarello Ex Stazione, Trento Italy
Fermata autobus Maccani Abondi, Trento Italy
Fermata autobus Ss 12 Pioppeto, Trento Italy
Fermata autobus Spini Pal. Giano, Trento Italy
Fermata autobus SFrancesco Porta Nuova, Trento Italy
46.065177686151394, 11.123200032106139
Fermata autobus Torre Verde Galasso, Trento Italy
Fermata autobus Centa Brennero, Trento Italy
Fermata autobus Dos Trento Apuleio, Trento Italy
Fermata autobus Mattarello Fratte, Trento Italy
Fermata autobus Gazzadina Le Case Nòve, Trento Italy
46.06783864305498, 11.175565367373302
Fermata autobus Ss 45 Scala, Trento Italy
Fermata autobus Adamello Gorizia, Trento Italy
Fermata autobus Gardolo P.Le Neufahrn Nord, Trento Italy
Fermata autobus Rosmini SMaria Maggiore, Trento Italy
Fermata autobus Povo Centro Civico, Trento Italy
Fermata autobus Solteri Piazzina, Trento Italy
Fermata autobus Ravina Piazza, Trento Italy
Fermata autobus Parcheggio Via Lidorno, Trento Italy
Fermata autobus Gramsci Einaudi, Trento Italy
Fermata autobus Piazzale Divisioni Alpine, Trento Italy
Fermata autobus Povo Polo Scientifico Ovest, Trento Italy
Fermata autobus San Rocco Torricelle, Trento Italy
Fermata autobus Al Desert Muredei, Trento Italy
Fermata autobus Muredei Prati, Trento Italy
Fermata autobus Verona Menguzzato, Trento Italy
Fermata autobus Cadine Della Fornas, Trento Italy
Fermata autobus Ravina Case Itea, Trento Italy
Fermata autobus Verona S.Bartolameo, Trento Italy
Fermata autobus San Rocco Piazza, Trento Italy
Fermata autobus Gardolo S.Anna, Trento Italy
Fermata autobus Gazzoletti Piazza Dante, Trento Italy
Fermata autobus Gardolo Piazza, Trento Italy
46.07280770481615, 11.161960598510705
Fermata autobus Segantini Dogana, Trento Italy
Fermata autobus Povo Valoni, Trento Italy
Fermata autobus Mattarello Gotarda, Trento Italy
Fermata autobus Mattarello Pomeranos, Trento Italy
Fermata autobus Sp 76 Via Rossa, Trento Italy
46.06395945698084, 11.150749050717122
Fermata autobus Ravina del Ponte, Trento Italy
Fermata autobus Gardolo 4 Nov. Soprasasso, Trento Italy
Fermata autobus Ghiaie Giardinerie, Trento Italy
Fermata autobus Interporto Fercam, Trento Italy
Fermata autobus Vittorio Veneto S.Giuseppe, Trento Italy
Fermata autobus Verona Big Center, Trento Italy
Fermata autobus Piazza Dante Palazzo Pat, Trento Italy
46.12483267067767, 11.11317967762131
Fermata autobus F.Lli Fontana Oberziner, Trento Italy
Fermata autobus Cadine Strada Gardesana, Trento Italy
Fermata autobus Parcheggio Ghiaie, Trento Italy
Fermata autobus Spini Masadori, Trento Italy
Fermata autobus Gardolo D.Milani Piscina, Trento Italy
Fermata autobus Meano Cimitero, Trento Italy
Fermata autobus Vigo Meano Alle Gorghe, Trento Italy
Fermata autobus Gardolo P.Le Neufahrn Sud, Trento Italy
Fermata autobus Sopramonte Valle, Trento Italy
46.07076542202315, 11.113483423941076
Fermata autobus Verona Palazzo Stella, Trento Italy
Fermata autobus Lavis Nazionale, Trento Italy
Fermata autobus Gazzadina Al Pontat, Trento Italy
Fermata autobus Mattarello Catoni, Trento Italy
Fermata autobus Mattarello Regole, Trento Italy
Fermata autobus Sp 76 Bivio S.Lazzaro, Trento Italy
Fermata autobus Asiago S.Bartolameo, Trento Italy
Fermata autobus Brennero Malvasia, Trento Italy
Fermata autobus Povo Polo Sociale, Trento Italy
Fermata autobus Meano Piazza Dell'assunta, Trento Italy
Fermata autobus Gazzadina del Porfido, Trento Italy
46.07105616243046, 11.138873419303504
Fermata autobus Gardolo 4 Nov. Canova, Trento Italy
46.091593368274594, 11.105645914094632
Fermata autobus Fogazzaro Piscina, Trento Italy
Fermata autobus Al Desert Ragazzi del 99, Trento Italy
Fermata autobus Rosmini S.Maria Maggiore, Trento Italy
Fermata autobus Ghiaie Sc. Materna, Trento Italy
46.07247566099503, 11.129840939050426
Fermata autobus Fersina Zona Artigianale, Trento Italy
Fermata autobus Pranzelores Tridente, Trento Italy
Fermata autobus Spini Linz, Trento Italy
Fermata autobus Al Desert Ragazzi del '99, Trento Italy
Fermata autobus Monte Baldo Ghiaie, Trento Italy
Fermata autobus Maccani Commercio, Trento Italy
46.10736349837174, 11.10080691267201
Fermata autobus Degli Alpini Oberziner, Trento Italy
Fermata autobus Gardolo Soprasasso, Trento Italy
Fermata autobus Innsbruck Trentino Trasporti, Trento Italy
Fermata autobus Vigo Meano Piazza Stainer, Trento Italy
Fermata autobus Rosmini Cimitero / Muse, Trento Italy
Fermata autobus Gard.D.Mezzo Maso Garbini, Trento Italy
Fermata autobus Romagnano 7 Fontane, Trento Italy
Fermata autobus Ss 12 Paludi, Trento Italy
Fermata autobus Cognola Centro Civico, Trento Italy
Fermata autobus Conci Villazzano 3, Trento Italy
Fermata autobus Asiago S. Bartolameo, Trento Italy
Fermata autobus Martignano P.Zza Menghin, Trento Italy
Fermata autobus Marconi Solteri, Trento Italy
Fermata autobus Mattarello Ronchi, Trento Italy
Fermata autobus Gorizia Adamello, Trento Italy
Fermata autobus Venezia Corallo, Trento Italy
Fermata autobus Villazzano Piazza Nicolini, Trento Italy
Fermata autobus Ss 12 S.Anna, Trento Italy
Fermata autobus Vigo Meano Don Perugini, Trento Italy
Fermata autobus San Donà Chiesa, Trento Italy
Fermata autobus Spini Praga, Trento Italy
46.06708254573929, 11.165567486086868
Fermata autobus Sp 76 Piac, Trento Italy
Fermata autobus Ravina Chiesa, Trento Italy
Fermata autobus Rsa S.Bartolomeo, Trento Italy
Fermata autobus Milano A Prato, Trento Italy
Fermata autobus Brennero Tridente, Trento Italy
Fermata autobus Villazzano Banala, Trento Italy
Fermata autobus Interporto Sait, Trento Italy
Fermata autobus Povo Fac. Scienze, Trento Italy
46.09908119114812, 11.119175508470283
Fermata autobus Pranzelores Top Center, Trento Italy
Fermata autobus Sp 131 Paganin, Trento Italy
Fermata autobus Degasperi Palazzo Stella, Trento Italy
Fermata autobus Gabbiolo Campo Sportivo, Trento Italy
46.08546764879939, 11.069615788146445
Fermata autobus Martignano Ai Bolleri, Trento Italy
Fermata autobus Sp 76 Carpenedi, Trento Italy
Fermata autobus Sanseverino Verdi, Trento Italy
Fermata autobus Gardolo 4 Nov. 2 Giugno, Trento Italy
Fermata autobus Sopramonte Novai, Trento Italy
46.070359069823866, 11.119105589227745
Fermata autobus Trener 3 Torri Pat, Trento Italy
Fermata autobus Villamontagna Michei, Trento Italy
Fermata autobus Dei Mille Villa Igea, Trento Italy
Fermata autobus Maccani Campotrentino, Trento Italy
Fermata autobus Sp 85 Bivio Sopramonte, Trento Italy
Fermata autobus Ravina Per Belvedere, Trento Italy
Fermata autobus Sopramonte M.Petoci, Trento Italy
Fermata autobus Largo Prati, Trento Italy
Fermata autobus Lamar Sottostazione Enel, Trento Italy
Fermata autobus Guardini Gilli, Trento Italy
Fermata autobus Spini di Gardolo, Trento Italy
46.04787885070311, 11.131128544972224
Fermata autobus Centochiavi Lunelli, Trento Italy
Fermata autobus Bettini Nido Mad. Bianca, Trento Italy
Fermata autobus Povo Salé, Trento Italy
Fermata autobus Vigo Meano Rio Papa, Trento Italy
Fermata autobus Spini Loghét, Trento Italy
Fermata autobus Gardolo S.Anna Carpenedi, Trento Italy
46.07619918129262, 11.12367149008323
Fermata autobus Madonna Bianca S.Gaetano, Trento Italy
Fermata autobus Canova Paludi, Trento Italy
Fermata autobus Romagnano Sud, Trento Italy
Fermata autobus Cervara Scalinata, Trento Italy
46.068257321285934, 11.17867375081509
Fermata autobus Povo Casa di Riposo, Trento Italy
Fermata autobus Gardolo Don Milani 8 Marzo, Trento Italy
Fermata autobus Martignano Capitel, Trento Italy
Fermata autobus Sp 90 Maso Prudenza, Trento Italy
Fermata autobus Gard.D.Mezzo Dos D.La Luna, Trento Italy
Fermata autobus Vela S.Giorgio, Trento Italy
Fermata autobus Vigo Meano S.Pietro, Trento Italy
46.06772768549396, 11.184766127541304
Fermata autobus Meano Campo Sportivo, Trento Italy
Fermata autobus Ss 12 Zona Ind.Le Ftm, Trento Italy
Fermata autobus Maso Rossi Aichner, Trento Italy
Fermata autobus Cognola S.Vito, Trento Italy
Fermata autobus Giusti Arcivescovile, Trento Italy
46.075380979090305, 11.139175847803447
46.07733302925647, 11.11106808533906
Fermata autobus Tangenziale Ovest Pezcoller, Trento Italy
Fermata autobus Apuleio Ponte S.Giorgio, Trento Italy
Fermata autobus Villazzano Giordano, Trento Italy
Fermata autobus Spré S.Lucia, Trento Italy
Fermata autobus Spini Casa Circondariale, Trento Italy
Fermata autobus Mattarello Rozola, Trento Italy
Fermata autobus Degasperi Big Center, Trento Italy
